2020/12/11 17:43:56 [error] 18937#0: *223 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /about HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 17:43:58 [error] 18937#0: *226 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 17:44:04 [error] 18937#0: *228 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /admin HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 17:44:37 [error] 18937#0: *230 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 17:54:06 [error] 18937#0: *232 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /admin HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 17:54:10 [error] 18937#0: *234 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 17:55:06 [error] 18937#0: *236 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 18:01:20 [error] 64412#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 18:56:07 [error] 64412#0: *3 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 18:56:08 [error] 64412#0: *5 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
2020/12/11 18:56:09 [error] 64412#0: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/Users/kiddman/Library/Application Support/Local/run/GzxkcCcuV/php/php-fpm.socket:", host: "sandaifx.local"
