[18-Dec-2020 16:43:27 Asia/Tokyo] PHP Fatal error:  Cannot declare class App\Admin\Controllers\UserController because the name is already in use in /Users/kiddman/Local Sites/sandaifx/app/app/Admin/Controllers/UserController.php on line 7
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP Stack trace:
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   1. {main}() /Users/kiddman/Local Sites/sandaifx/app/public/index.php:0
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   2. App\Http\Kernel->handle() /Users/kiddman/Local Sites/sandaifx/app/public/index.php:55
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   3. App\Http\Kernel->sendRequestThroughRouter() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:109
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   4. Illuminate\Routing\Pipeline->then() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:140
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   5. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   6. App\Http\Middleware\TrustProxies->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   7. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/fideloper/proxy/src/TrustProxies.php:57
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   8. Fruitcake\Cors\HandleCors->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP   9. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/fruitcake/laravel-cors/src/HandleCors.php:37
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  10. App\Http\Middleware\CheckForMaintenanceMode->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:63
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  12. Illuminate\Foundation\Http\Middleware\ValidatePostSize->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  13. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  14. App\Http\Middleware\TrimStrings->handle() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:167
[18-Dec-2020 16:43:27 Asia/Tokyo] PHP  15. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:143-174}() /Users/kiddman/Local Sites/sandaifx/app/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:21
